"filename", "language", "YAML", "Python", "Docker", "Ini", "Makefile", "pip requirements", "Go Module File", "Go", "Go Checksum File", "templ", "Properties", "comment", "blank", "total"
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/.gitlab-ci.yml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/Makefile", "Makefile", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/docker-compose.yml", "YAML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/.gitlab-ci.yml", "YAML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/Dockerfile", "Docker", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/conf/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 3, 21
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/.gitlab-ci.yml", "YAML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/Dockerfile", "Docker", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/app_uwsgi.ini", "Ini", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/admin.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/decorators/error_handler.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/migrations/0001_initial.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
