Date : 2024-05-16 15:30:41
Directory : /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app
Total : 64 files,  3205 codes, 46 comments, 409 blanks, all 3660 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         19 |      1,892 |         15 |        166 |      2,073 |
| Python           |         24 |        459 |         22 |        165 |        646 |
| templ            |          5 |        398 |          0 |         42 |        440 |
| YAML             |          7 |        330 |          0 |         12 |        342 |
| Go Checksum File |          1 |         43 |          0 |          1 |         44 |
| Docker           |          3 |         30 |          1 |         13 |         44 |
| Go Module File   |          1 |         21 |          0 |          4 |         25 |
| Properties       |          1 |         10 |          8 |          3 |         21 |
| Makefile         |          1 |          9 |          0 |          3 |         12 |
| pip requirements |          1 |          7 |          0 |          0 |          7 |
| Ini              |          1 |          6 |          0 |          0 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         64 |      3,205 |         46 |        409 |      3,660 |
| . (Files)                                                                                                          |          3 |         57 |          0 |          6 |         63 |
| nginx                                                                                                              |          3 |         56 |          8 |          7 |         71 |
| nginx (Files)                                                                                                      |          2 |         46 |          0 |          4 |         50 |
| nginx/conf                                                                                                         |          1 |         10 |          8 |          3 |         21 |
| src                                                                                                                |         58 |      3,092 |         38 |        396 |      3,526 |
| src/backend                                                                                                        |         29 |        675 |         23 |        175 |        873 |
| src/backend (Files)                                                                                                |          5 |         84 |          2 |         12 |         98 |
| src/backend/applications                                                                                           |         19 |        457 |          5 |        110 |        572 |
| src/backend/applications (Files)                                                                                   |          6 |        108 |          3 |         23 |        134 |
| src/backend/applications/decorators                                                                                |          1 |         12 |          0 |          2 |         14 |
| src/backend/applications/migrations                                                                                |          2 |         27 |          1 |          8 |         36 |
| src/backend/applications/model                                                                                     |          3 |         28 |          1 |          8 |         37 |
| src/backend/applications/repository                                                                                |          3 |         65 |          0 |         32 |         97 |
| src/backend/applications/serializers                                                                               |          3 |        180 |          0 |         20 |        200 |
| src/backend/applications/services                                                                                  |          1 |         37 |          0 |         17 |         54 |
| src/backend/course_papers                                                                                          |          5 |        134 |         16 |         53 |        203 |
| src/web                                                                                                            |         29 |      2,417 |         15 |        221 |      2,653 |
| src/web (Files)                                                                                                    |          5 |        127 |          0 |         13 |        140 |
| src/web/cmd                                                                                                        |          1 |         36 |          0 |         11 |         47 |
| src/web/internal                                                                                                   |         10 |        426 |          0 |         87 |        513 |
| src/web/internal (Files)                                                                                           |          1 |         79 |          0 |         17 |         96 |
| src/web/internal/app                                                                                               |          1 |         33 |          0 |         10 |         43 |
| src/web/internal/handler                                                                                           |          3 |        155 |          0 |         30 |        185 |
| src/web/internal/storage                                                                                           |          5 |        159 |          0 |         30 |        189 |
| src/web/internal/storage (Files)                                                                                   |          1 |        131 |          0 |         20 |        151 |
| src/web/internal/storage/dto                                                                                       |          2 |          9 |          0 |          4 |         13 |
| src/web/internal/storage/models                                                                                    |          2 |         19 |          0 |          6 |         25 |
| src/web/tools                                                                                                      |          1 |          4 |          0 |          2 |          6 |
| src/web/views                                                                                                      |         12 |      1,824 |         15 |        108 |      1,947 |
| src/web/views (Files)                                                                                              |          4 |        144 |          6 |         16 |        166 |
| src/web/views/course_papers                                                                                        |          2 |        717 |          3 |         35 |        755 |
| src/web/views/pagination                                                                                           |          2 |        236 |          3 |         15 |        254 |
| src/web/views/params                                                                                               |          2 |         70 |          0 |          9 |         79 |
| src/web/views/stages                                                                                               |          2 |        657 |          3 |         33 |        693 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                           | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/.gitlab-ci.yml                                       | YAML             |          6 |          0 |          2 |          8 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/Makefile                                             | Makefile         |          9 |          0 |          3 |         12 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/docker-compose.yml                                   | YAML             |         42 |          0 |          1 |         43 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/.gitlab-ci.yml                                 | YAML             |         41 |          0 |          2 |         43 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/Dockerfile                                     | Docker           |          5 |          0 |          2 |          7 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/nginx/conf/nginx.conf                                | Properties       |         10 |          8 |          3 |         21 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/.gitlab-ci.yml                           | YAML             |         41 |          0 |          2 |         43 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/Dockerfile                               | Docker           |         13 |          1 |          5 |         19 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/app_uwsgi.ini                            | Ini              |          6 |          0 |          0 |          6 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/__init__.py                 | Python           |          0 |          0 |          1 |          1 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/admin.py                    | Python           |          4 |          1 |          1 |          6 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/apps.py                     | Python           |          4 |          0 |          3 |          7 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/decorators/error_handler.py | Python           |         12 |          0 |          2 |         14 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/migrations/0001_initial.py  | Python           |         27 |          1 |          7 |         35 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/migrations/__init__.py      | Python           |          0 |          0 |          1 |          1 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/model/course_paper.py       | Python           |         10 |          0 |          2 |         12 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/model/stage.py              | Python           |         10 |          1 |          4 |         15 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/model/stages.py             | Python           |          8 |          0 |          2 |         10 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/models.py                   | Python           |         13 |          0 |          5 |         18 |
